pop1pop2_boot1	0.066218 0.076223
pop1pop2_boot2	0.069116 0.077902
pop1pop2_boot3	0.071809 0.081513
pop1pop2_boot4	0.065613 0.074635
pop1pop2_boot5	0.069069 0.079538
pop1pop2_boot6	0.066900 0.078563
pop1pop2_boot7	0.066175 0.075233
pop1pop2_boot8	0.068072 0.075576
pop1pop2_boot9	0.065875 0.075177
pop1pop2_boot10	0.067329 0.076741
pop1pop2_boot11	0.063667 0.071073
pop1pop2_boot12	0.068764 0.078969
pop1pop2_boot13	0.061234 0.068567
pop1pop2_boot14	0.068861 0.077089
pop1pop2_boot15	0.065935 0.073283
pop1pop2_boot16	0.062428 0.071955
pop1pop2_boot17	0.069243 0.078596
pop1pop2_boot18	0.063213 0.069922
pop1pop2_boot19	0.063816 0.070157
pop1pop2_boot20	0.063907 0.071736
pop1pop2_boot21	0.065885 0.073223
pop1pop2_boot22	0.063538 0.072195
pop1pop2_boot23	0.067680 0.079849
pop1pop2_boot24	0.064443 0.071111
pop1pop2_boot25	0.066189 0.076908
pop1pop2_boot26	0.065626 0.072424
pop1pop2_boot27	0.068332 0.078706
pop1pop2_boot28	0.064702 0.073808
pop1pop2_boot29	0.068903 0.078841
pop1pop2_boot30	0.067629 0.078992
pop1pop2_boot31	0.060748 0.069168
pop1pop2_boot32	0.066680 0.075877
pop1pop2_boot33	0.068725 0.076181
pop1pop2_boot34	0.062219 0.068879
pop1pop2_boot35	0.070546 0.079625
pop1pop2_boot36	0.068590 0.077858
pop1pop2_boot37	0.064080 0.072073
pop1pop2_boot38	0.066035 0.073890
pop1pop2_boot39	0.062038 0.068792
pop1pop2_boot40	0.067001 0.076913
pop1pop2_boot41	0.067618 0.077803
pop1pop2_boot42	0.065455 0.074302
pop1pop2_boot43	0.066136 0.076150
pop1pop2_boot44	0.067035 0.077733
pop1pop2_boot45	0.067421 0.078386
pop1pop2_boot46	0.065958 0.076966
pop1pop2_boot47	0.071555 0.081498
pop1pop2_boot48	0.066520 0.075961
pop1pop2_boot49	0.068585 0.078648
pop1pop2_boot50	0.067664 0.078440
pop1pop2_boot51	0.068817 0.079453
pop1pop2_boot52	0.069098 0.080813
pop1pop2_boot53	0.065967 0.075383
pop1pop2_boot54	0.064605 0.074182
pop1pop2_boot55	0.061270 0.070771
pop1pop2_boot56	0.068022 0.078020
pop1pop2_boot57	0.066989 0.076337
pop1pop2_boot58	0.069748 0.079944
pop1pop2_boot59	0.068294 0.077709
pop1pop2_boot60	0.061949 0.071699
pop1pop2_boot61	0.061417 0.068019
pop1pop2_boot62	0.066495 0.075131
pop1pop2_boot63	0.064696 0.075606
pop1pop2_boot64	0.065267 0.074574
pop1pop2_boot65	0.065934 0.073058
pop1pop2_boot66	0.066567 0.075953
pop1pop2_boot67	0.066952 0.076042
pop1pop2_boot68	0.068268 0.076551
pop1pop2_boot69	0.066816 0.074748
pop1pop2_boot70	0.069900 0.079781
pop1pop2_boot71	0.068562 0.076033
pop1pop2_boot72	0.067152 0.075905
pop1pop2_boot73	0.067036 0.075286
pop1pop2_boot74	0.067799 0.076405
pop1pop2_boot75	0.064523 0.073096
pop1pop2_boot76	0.066597 0.075066
pop1pop2_boot77	0.062963 0.072247
pop1pop2_boot78	0.068939 0.079164
pop1pop2_boot79	0.059829 0.064325
pop1pop2_boot80	0.066416 0.076475
pop1pop2_boot81	0.066705 0.074161
pop1pop2_boot82	0.070077 0.077570
pop1pop2_boot83	0.066822 0.074275
pop1pop2_boot84	0.065861 0.072849
pop1pop2_boot85	0.064443 0.075250
pop1pop2_boot86	0.065163 0.074601
pop1pop2_boot87	0.063628 0.069853
pop1pop2_boot88	0.066212 0.075603
pop1pop2_boot89	0.068082 0.079477
pop1pop2_boot90	0.065014 0.074359
pop1pop2_boot91	0.062780 0.069808
pop1pop2_boot92	0.066412 0.076024
pop1pop2_boot93	0.066856 0.076099
pop1pop2_boot94	0.065394 0.074065
pop1pop2_boot95	0.066181 0.076076
pop1pop2_boot96	0.066468 0.077183
pop1pop2_boot97	0.067733 0.075512
pop1pop2_boot98	0.066681 0.075256
pop1pop2_boot99	0.066819 0.075684
pop1pop2_boot100	0.064887 0.073187
pop1pop4_boot1	0.075408 0.088442
pop1pop4_boot2	0.076648 0.088112
pop1pop4_boot3	0.075238 0.087446
pop1pop4_boot4	0.082006 0.092098
pop1pop4_boot5	0.077553 0.093149
pop1pop4_boot6	0.073416 0.085876
pop1pop4_boot7	0.078905 0.091843
pop1pop4_boot8	0.076841 0.088609
pop1pop4_boot9	0.074481 0.088589
pop1pop4_boot10	0.076517 0.090451
pop1pop4_boot11	0.072525 0.082283
pop1pop4_boot12	0.078263 0.089102
pop1pop4_boot13	0.074556 0.090100
pop1pop4_boot14	0.076254 0.085752
pop1pop4_boot15	0.076671 0.090333
pop1pop4_boot16	0.077449 0.095490
pop1pop4_boot17	0.077539 0.091456
pop1pop4_boot18	0.071360 0.081670
pop1pop4_boot19	0.071140 0.080728
pop1pop4_boot20	0.074102 0.086532
pop1pop4_boot21	0.078138 0.093378
pop1pop4_boot22	0.073430 0.085507
pop1pop4_boot23	0.076717 0.091598
pop1pop4_boot24	0.076085 0.088919
pop1pop4_boot25	0.079755 0.094553
pop1pop4_boot26	0.073020 0.084065
pop1pop4_boot27	0.077624 0.093386
pop1pop4_boot28	0.077124 0.090132
pop1pop4_boot29	0.076997 0.090705
pop1pop4_boot30	0.076224 0.088384
pop1pop4_boot31	0.078999 0.092708
pop1pop4_boot32	0.076222 0.092012
pop1pop4_boot33	0.073661 0.083906
pop1pop4_boot34	0.075984 0.089585
pop1pop4_boot35	0.076000 0.088996
pop1pop4_boot36	0.078632 0.093527
pop1pop4_boot37	0.077462 0.092790
pop1pop4_boot38	0.078374 0.092813
