Run,BioProject,BioSample,DATASTORE filetype,Experiment,geo_loc_name_country,geo_loc_name_country_continent,lat_lon,Reef_Site,Library Name,Organism,Sample Name
SRR28497447,PRJNA1093451,SAMN40654707,"fastq,run.zq,sra",SRX24099587,Dominican Republic,North America,18.37308 N 68.85326 W,La Playita,A44,Agaricia agaricites,A44.fastq
SRR28497448,PRJNA1093451,SAMN40654706,"run.zq,fastq,sra",SRX24099586,Dominican Republic,North America,18.37308 N 68.85326 W,La Playita,A43,Agaricia agaricites,A43.fastq
SRR28497449,PRJNA1093451,SAMN40654705,"fastq,sra,run.zq",SRX24099585,Dominican Republic,North America,18.37308 N 68.85326 W,La Playita,A42,Agaricia agaricites,A42.fastq
SRR28497450,PRJNA1093451,SAMN40654704,"sra,fastq,run.zq",SRX24099584,Dominican Republic,North America,18.37308 N 68.85326 W,La Playita,A41,Agaricia agaricites,A41.fastq
SRR28497451,PRJNA1093451,SAMN40654703,"sra,run.zq,fastq",SRX24099583,Dominican Republic,North America,18.365881 N 68.850397 W,Fundemar,A40,Agaricia agaricites,A40.fastq
SRR28497452,PRJNA1093451,SAMN40654702,"fastq,sra,run.zq",SRX24099582,Dominican Republic,North America,18.365881 N 68.850397 W,Fundemar,A39,Agaricia agaricites,A39.fastq
SRR28497453,PRJNA1093451,SAMN40654701,"sra,run.zq,fastq",SRX24099581,Dominican Republic,North America,18.365881 N 68.850397 W,Fundemar,A37,Agaricia agaricites,A37.fastq
SRR28497454,PRJNA1093451,SAMN40654700,"run.zq,fastq,sra",SRX24099580,Dominican Republic,North America,18.365881 N 68.850397 W,Fundemar,A36,Agaricia agaricites,A36.fastq
SRR28497455,PRJNA1093451,SAMN40654820,"sra,run.zq,fastq",SRX24099579,Dominican Republic,North America,18.373555 N 69.005351 W,La Pared,P79,Porites astreoides,P79.fastq
SRR28497456,PRJNA1093451,SAMN40654819,"run.zq,fastq,sra",SRX24099578,Dominican Republic,North America,18.373555 N 69.005351 W,La Pared,P78,Porites astreoides,P78.fastq
SRR28497457,PRJNA1093451,SAMN40654818,"run.zq,fastq,sra",SRX24099577,Dominican Republic,North America,18.373555 N 69.005351 W,La Pared,P77,Porites astreoides,P77.fastq
SRR28497458,PRJNA1093451,SAMN40654629,"run.zq,fastq,sra",SRX24099576,Dominican Republic,North America,18.365881 N 68.850397 W,Fundemar,O29,Orbicella faveolata,O29.fastq
SRR28497459,PRJNA1093451,SAMN40654817,"run.zq,fastq,sra",SRX24099575,Dominican Republic,North America,18.373555 N 69.005351 W,La Pared,P76,Porites astreoides,P76.fastq
SRR28497460,PRJNA1093451,SAMN40654816,"sra,run.zq,fastq",SRX24099574,Dominican Republic,North America,18.373555 N 69.005351 W,La Pared,P75,Porites astreoides,P75.fastq
SRR28497461,PRJNA1093451,SAMN40654815,"run.zq,sra,fastq",SRX24099573,Dominican Republic,North America,18.373555 N 69.005351 W,La Pared,P74,Porites astreoides,P74.fastq
SRR28497462,PRJNA1093451,SAMN40654814,"run.zq,sra,fastq",SRX24099572,Dominican Republic,North America,18.373555 N 69.005351 W,La Pared,P73,Porites astreoides,P73.fastq
SRR28497463,PRJNA1093451,SAMN40654813,"sra,fastq,run.zq",SRX24099571,Dominican Republic,North America,18.373555 N 69.005351 W,La Pared,P72,Porites astreoides,P72.fastq
SRR28497464,PRJNA1093451,SAMN40654812,"sra,run.zq,fastq",SRX24099570,Dominican Republic,North America,18.373555 N 69.005351 W,La Pared,P71,Porites astreoides,P71.fastq
SRR28497465,PRJNA1093451,SAMN40654811,"sra,run.zq,fastq",SRX24099569,Dominican Republic,North America,18.373555 N 69.005351 W,La Pared,P70,Porites astreoides,P70.fastq
SRR28497466,PRJNA1093451,SAMN40654810,"run.zq,sra,fastq",SRX24099568,Dominican Republic,North America,18.373555 N 69.005351 W,La Pared,P69,Porites astreoides,P69.fastq
SRR28497467,PRJNA1093451,SAMN40654809,"fastq,run.zq,sra",SRX24099567,Dominican Republic,North America,18.373555 N 69.005351 W,La Pared,P68,Porites astreoides,P68.fastq
SRR28497468,PRJNA1093451,SAMN40654808,"fastq,sra,run.zq",SRX24099566,Dominican Republic,North America,18.373555 N 69.005351 W,La Pared,P66,Porites astreoides,P66.fastq
SRR28497469,PRJNA1093451,SAMN40654628,"run.zq,sra,fastq",SRX24099565,Dominican Republic,North America,18.365881 N 68.850397 W,Fundemar,O27,Orbicella faveolata,O27.fastq
SRR28497470,PRJNA1093451,SAMN40654610,"run.zq,sra,fastq",SRX24099564,Dominican Republic,North America,18.26166 N 68.799564 W,El Penon,O3,Orbicella faveolata,O3.fastq
SRR28497471,PRJNA1093451,SAMN40654807,"sra,run.zq,fastq",SRX24099563,Dominican Republic,North America,18.373555 N 69.005351 W,La Pared,P65,Porites astreoides,P65.fastq
SRR28497472,PRJNA1093451,SAMN40654806,"fastq,run.zq,sra",SRX24099562,Dominican Republic,North America,18.373555 N 69.005351 W,La Pared,P64,Porites astreoides,P64.fastq
SRR28497473,PRJNA1093451,SAMN40654805,"sra,run.zq,fastq",SRX24099561,Dominican Republic,North America,18.373555 N 69.005351 W,La Pared,P63,Porites astreoides,P63.fastq
SRR28497474,PRJNA1093451,SAMN40654804,"sra,fastq,run.zq",SRX24099560,Dominican Republic,North America,18.373555 N 69.005351 W,La Pared,P62,Porites astreoides,P62.fastq
SRR28497475,PRJNA1093451,SAMN40654803,"sra,fastq,run.zq",SRX24099559,Dominican Republic,North America,18.373555 N 69.005351 W,La Pared,P61,Porites astreoides,P61.fastq
SRR28497476,PRJNA1093451,SAMN40654802,"sra,run.zq,fastq",SRX24099558,Dominican Republic,North America,18.37308 N 68.85326 W,La Playita,P60,Porites astreoides,P60.fastq
SRR28497477,PRJNA1093451,SAMN40654801,"sra,run.zq,fastq",SRX24099557,Dominican Republic,North America,18.37308 N 68.85326 W,La Playita,P59,Porites astreoides,P59.fastq
SRR28497478,PRJNA1093451,SAMN40654800,"sra,fastq,run.zq",SRX24099556,Dominican Republic,North America,18.37308 N 68.85326 W,La Playita,P58,Porites astreoides,P58.fastq
SRR28497479,PRJNA1093451,SAMN40654799,"sra,run.zq,fastq",SRX24099555,Dominican Republic,North America,18.37308 N 68.85326 W,La Playita,P57,Porites astreoides,P57.fastq
SRR28497480,PRJNA1093451,SAMN40654798,"run.zq,sra,fastq",SRX24099554,Dominican Republic,North America,18.37308 N 68.85326 W,La Playita,P56,Porites astreoides,P56.fastq
SRR28497481,PRJNA1093451,SAMN40654627,"sra,fastq,run.zq",SRX24099553,Dominican Republic,North America,18.365881 N 68.850397 W,Fundemar,O26,Orbicella faveolata,O26.fastq
SRR28497482,PRJNA1093451,SAMN40654797,"run.zq,fastq,sra",SRX24099552,Dominican Republic,North America,18.37308 N 68.85326 W,La Playita,P55,Porites astreoides,P55.fastq
SRR28497483,PRJNA1093451,SAMN40654796,"fastq,run.zq,sra",SRX24099551,Dominican Republic,North America,18.37308 N 68.85326 W,La Playita,P54,Porites astreoides,P54.fastq
SRR28497484,PRJNA1093451,SAMN40654795,"sra,fastq,run.zq",SRX24099550,Dominican Republic,North America,18.37308 N 68.85326 W,La Playita,P53,Porites astreoides,P53.fastq
SRR28497485,PRJNA1093451,SAMN40654794,"sra,fastq,run.zq",SRX24099549,Dominican Republic,North America,18.37308 N 68.85326 W,La Playita,P52,Porites astreoides,P52.fastq
SRR28497486,PRJNA1093451,SAMN40654793,"sra,fastq,run.zq",SRX24099548,Dominican Republic,North America,18.37308 N 68.85326 W,La Playita,P51,Porites astreoides,P51.fastq
SRR28497487,PRJNA1093451,SAMN40654699,"sra,run.zq,fastq",SRX24099547,Dominican Republic,North America,18.365881 N 68.850397 W,Fundemar,A35,Agaricia agaricites,A35.fastq
SRR28497488,PRJNA1093451,SAMN40654698,"run.zq,sra,fastq",SRX24099546,Dominican Republic,North America,18.365881 N 68.850397 W,Fundemar,A34,Agaricia agaricites,A34.fastq
SRR28497489,PRJNA1093451,SAMN40654617,"run.zq,sra,fastq",SRX24099545,Dominican Republic,North America,18.26166 N 68.799564 W,El Penon,O11,Orbicella faveolata,O11.fastq
SRR28497490,PRJNA1093451,SAMN40654697,"sra,fastq,run.zq",SRX24099544,Dominican Republic,North America,18.365881 N 68.850397 W,Fundemar,A33,Agaricia agaricites,A33.fastq
