pop1pop4_boot1	0.048203 0.052913
pop1pop4_boot2	0.043887 0.042508
pop1pop4_boot3	0.045385 0.047245
pop1pop4_boot4	0.046110 0.047922
pop1pop4_boot5	0.043828 0.043770
pop1pop4_boot6	0.044364 0.046146
pop1pop4_boot7	0.045116 0.043155
pop1pop4_boot8	0.049147 0.051119
pop1pop4_boot9	0.049284 0.052264
pop1pop4_boot10	0.043743 0.045069
pop1pop4_boot11	0.050012 0.052742
pop1pop4_boot12	0.047425 0.050620
pop1pop4_boot13	0.046346 0.047396
pop1pop4_boot14	0.046364 0.046689
pop1pop4_boot15	0.043624 0.044006
pop1pop4_boot16	0.043351 0.042014
pop1pop4_boot17	0.045239 0.045624
pop1pop4_boot18	0.045049 0.048069
pop1pop4_boot19	0.050553 0.052819
pop1pop4_boot20	0.037678 0.039121
pop1pop4_boot21	0.044630 0.044047
pop1pop4_boot22	0.044630 0.043440
pop1pop4_boot23	0.048141 0.048174
pop1pop4_boot24	0.047682 0.051100
pop1pop4_boot25	0.045953 0.047025
pop1pop4_boot26	0.045944 0.044416
pop1pop4_boot27	0.048421 0.048029
pop1pop4_boot28	0.045157 0.048288
pop1pop4_boot29	0.042358 0.043961
pop1pop4_boot30	0.042472 0.045222
pop1pop4_boot31	0.044474 0.047233
pop1pop4_boot32	0.045734 0.045174
pop1pop4_boot33	0.048517 0.049622
pop1pop4_boot34	0.043923 0.045743
pop1pop4_boot35	0.048519 0.050176
pop1pop4_boot36	0.039829 0.040013
pop1pop4_boot37	0.049164 0.050281
pop1pop4_boot38	0.050035 0.049219
pop1pop4_boot39	0.042890 0.044325
pop1pop4_boot40	0.050204 0.050924
pop1pop4_boot41	0.043788 0.046592
pop1pop4_boot42	0.049526 0.050120
pop1pop4_boot43	0.044151 0.047672
pop1pop4_boot44	0.047405 0.050347
pop1pop4_boot45	0.039735 0.040010
pop1pop4_boot46	0.045348 0.046508
pop1pop4_boot47	0.048435 0.050078
pop1pop4_boot48	0.039073 0.040937
pop1pop4_boot49	0.043167 0.046652
pop1pop4_boot50	0.040882 0.038759
pop1pop4_boot51	0.044904 0.046670
pop1pop4_boot52	0.046696 0.049933
pop1pop4_boot53	0.049699 0.052943
pop1pop4_boot54	0.048064 0.050240
pop1pop4_boot55	0.044650 0.044052
pop1pop4_boot56	0.046964 0.048591
pop1pop4_boot57	0.048782 0.050479
pop1pop4_boot58	0.049468 0.052068
pop1pop4_boot59	0.047411 0.047783
pop1pop4_boot60	0.048417 0.050873
pop1pop4_boot61	0.046292 0.047266
pop1pop4_boot62	0.049766 0.049425
pop1pop4_boot63	0.047938 0.048146
pop1pop4_boot64	0.042152 0.044470
pop1pop4_boot65	0.037998 0.036515
pop1pop4_boot66	0.041825 0.043374
pop1pop4_boot67	0.043659 0.046549
pop1pop4_boot68	0.045829 0.047208
pop1pop4_boot69	0.042372 0.042858
pop1pop4_boot70	0.047211 0.048008
pop1pop4_boot71	0.046340 0.044833
pop1pop4_boot72	0.048471 0.049691
pop1pop4_boot73	0.041113 0.041114
pop1pop4_boot74	0.049048 0.050574
pop1pop4_boot75	0.047655 0.050162
pop1pop4_boot76	0.043555 0.043051
pop1pop4_boot77	0.049002 0.050506
pop1pop4_boot78	0.042502 0.043302
pop1pop4_boot79	0.045810 0.047459
pop1pop4_boot80	0.045341 0.046114
pop1pop4_boot81	0.046247 0.048380
pop1pop4_boot82	0.048922 0.050155
pop1pop4_boot83	0.047713 0.046600
pop1pop4_boot84	0.048231 0.046910
pop1pop4_boot85	0.048838 0.049791
pop1pop4_boot86	0.038682 0.040391
pop1pop4_boot87	0.046254 0.048491
pop1pop4_boot88	0.052545 0.056012
pop1pop4_boot89	0.046287 0.046676
pop1pop4_boot90	0.044378 0.047204
pop1pop4_boot91	0.046468 0.047069
pop1pop4_boot92	0.046398 0.047383
pop1pop4_boot93	0.042025 0.042764
pop1pop4_boot94	0.049519 0.050150
pop1pop4_boot95	0.046703 0.047276
pop1pop4_boot96	0.048604 0.052192
pop1pop4_boot97	0.044075 0.040932
pop1pop4_boot98	0.049748 0.051672
pop1pop4_boot99	0.048912 0.047805
pop1pop4_boot100	0.047596 0.049525
pop3pop5_boot1	0.040400 0.041296
pop3pop5_boot2	0.037068 0.041421
pop3pop5_boot3	0.034517 0.037493
pop3pop5_boot4	0.043097 0.044383
pop3pop5_boot5	0.045844 0.053740
pop3pop5_boot6	0.041298 0.042850
pop3pop5_boot7	0.043569 0.043914
pop3pop5_boot8	0.039995 0.041314
pop3pop5_boot9	0.042348 0.041970
pop3pop5_boot10	0.044004 0.047944
pop3pop5_boot11	0.044718 0.048665
pop3pop5_boot12	0.036630 0.036505
pop3pop5_boot13	0.045761 0.046793
pop3pop5_boot14	0.042755 0.046793
pop3pop5_boot15	0.035737 0.036026
pop3pop5_boot16	0.035765 0.036312
pop3pop5_boot17	0.037428 0.037676
pop3pop5_boot18	0.038372 0.037987
pop3pop5_boot19	0.039467 0.042543
pop3pop5_boot20	0.041473 0.041340
pop3pop5_boot21	0.039001 0.040867
pop3pop5_boot22	0.038628 0.036342
pop3pop5_boot23	0.045163 0.051960
pop3pop5_boot24	0.044672 0.048849
pop3pop5_boot25	0.044420 0.048892
pop3pop5_boot26	0.045409 0.046363
pop3pop5_boot27	0.042265 0.043228
pop3pop5_boot28	0.046123 0.048438
pop3pop5_boot29	0.049396 0.053921
pop3pop5_boot30	0.043466 0.049666
pop3pop5_boot31	0.052475 0.052620
pop3pop5_boot32	0.038247 0.043693
pop3pop5_boot33	0.047111 0.051207
pop3pop5_boot34	0.045523 0.048455
pop3pop5_boot35	0.038615 0.042343
pop3pop5_boot36	0.046793 0.054152
pop3pop5_boot37	0.044101 0.046817
pop3pop5_boot38	0.043636 0.043371
pop3pop5_boot39	0.040682 0.042648
pop3pop5_boot40	0.043547 0.050304
pop3pop5_boot41	0.040895 0.044099
pop3pop5_boot42	0.039820 0.042035
pop3pop5_boot43	0.046185 0.047469
pop3pop5_boot44	0.045412 0.047439
pop3pop5_boot45	0.039579 0.043510
pop3pop5_boot46	0.044881 0.046315
pop3pop5_boot47	0.041879 0.047280
pop3pop5_boot48	0.036601 0.034987
pop3pop5_boot49	0.044320 0.042834
pop3pop5_boot50	0.041814 0.044913
pop3pop5_boot51	0.046531 0.050823
pop3pop5_boot52	0.043497 0.048261
pop3pop5_boot53	0.039912 0.043386
pop3pop5_boot54	0.046942 0.046216
pop3pop5_boot55	0.035313 0.035506
pop3pop5_boot56	0.040810 0.046777
pop3pop5_boot57	0.049106 0.050218
pop3pop5_boot58	0.049857 0.050341
pop3pop5_boot59	0.041913 0.047598
pop3pop5_boot60	0.039656 0.040797
pop3pop5_boot61	0.048841 0.052011
pop3pop5_boot62	0.041806 0.044405
pop3pop5_boot63	0.046208 0.051446
pop3pop5_boot64	0.040692 0.049330
pop3pop5_boot65	0.050040 0.053735
pop3pop5_boot66	0.037442 0.035054
pop3pop5_boot67	0.044356 0.044697
pop3pop5_boot68	0.041587 0.040694
pop3pop5_boot69	0.052659 0.053955
pop3pop5_boot70	0.045466 0.048702
pop3pop5_boot71	0.040735 0.038699
pop3pop5_boot72	0.039805 0.039529
pop3pop5_boot73	0.048270 0.052390
pop3pop5_boot74	0.042773 0.042369
pop3pop5_boot75	0.045155 0.041923
pop3pop5_boot76	0.045411 0.049804
pop3pop5_boot77	0.040814 0.041450
pop3pop5_boot78	0.043796 0.050284
pop3pop5_boot79	0.041970 0.047499
pop3pop5_boot80	0.032588 0.030526
pop3pop5_boot81	0.040533 0.039637
pop3pop5_boot82	0.049304 0.052270
pop3pop5_boot83	0.040789 0.046518
pop3pop5_boot84	0.049804 0.057842
pop3pop5_boot85	0.042960 0.041522
pop3pop5_boot86	0.035492 0.034700
pop3pop5_boot87	0.043608 0.047634
pop3pop5_boot88	0.039833 0.043805
pop3pop5_boot89	0.040606 0.042693
pop3pop5_boot90	0.048713 0.052716
pop3pop5_boot91	0.036980 0.036211
pop3pop5_boot92	0.045257 0.051849
pop3pop5_boot93	0.044785 0.052449
pop3pop5_boot94	0.035362 0.038550
pop3pop5_boot95	0.042454 0.045479
pop3pop5_boot96	0.042279 0.047832
pop3pop5_boot97	0.042489 0.042708
pop3pop5_boot98	0.039113 0.039841
pop3pop5_boot99	0.047731 0.052661
pop3pop5_boot100	0.053951 0.059864
pop1pop3_boot1	0.036844 0.043367
pop1pop3_boot2	0.038337 0.048106
pop1pop3_boot3	0.043357 0.054011
pop1pop3_boot4	0.041211 0.055692
pop1pop3_boot5	0.040436 0.048783
pop1pop3_boot6	0.038697 0.044902
pop1pop3_boot7	0.039198 0.046408
pop1pop3_boot8	0.042429 0.050193
pop1pop3_boot9	0.047848 0.059917
pop1pop3_boot10	0.040163 0.050502
pop1pop3_boot11	0.045963 0.058959
pop1pop3_boot12	0.038732 0.045031
pop1pop3_boot13	0.045143 0.057514
pop1pop3_boot14	0.047958 0.053893
pop1pop3_boot15	0.039884 0.049387
pop1pop3_boot16	0.041416 0.050889
pop1pop3_boot17	0.038371 0.047906
pop1pop3_boot18	0.042499 0.051493
pop1pop3_boot19	0.039942 0.046627
pop1pop3_boot20	0.039809 0.052059
pop1pop3_boot21	0.038896 0.052003
pop1pop3_boot22	0.041312 0.049091
pop1pop3_boot23	0.037460 0.045590
pop1pop3_boot24	0.042844 0.055061
pop1pop3_boot25	0.037971 0.050655
pop1pop3_boot26	0.039889 0.050810
pop1pop3_boot27	0.033096 0.033617
pop1pop3_boot28	0.039713 0.051928
pop1pop3_boot29	0.037659 0.044554
pop1pop3_boot30	0.043965 0.056806
pop1pop3_boot31	0.040247 0.053513
pop1pop3_boot32	0.043752 0.052096
pop1pop3_boot33	0.046549 0.056654
pop1pop3_boot34	0.038076 0.049643
pop1pop3_boot35	0.038510 0.047503
pop1pop3_boot36	0.034420 0.043378
pop1pop3_boot37	0.044270 0.058928
pop1pop3_boot38	0.037728 0.044631
pop1pop3_boot39	0.040246 0.047321
pop1pop3_boot40	0.040752 0.049686
pop1pop3_boot41	0.043662 0.051444
pop1pop3_boot42	0.045051 0.053209
pop1pop3_boot43	0.039809 0.050616
pop1pop3_boot44	0.047206 0.055945
pop1pop3_boot45	0.033760 0.040261
pop1pop3_boot46	0.038079 0.047645
pop1pop3_boot47	0.038030 0.046455
pop1pop3_boot48	0.037266 0.047765
pop1pop3_boot49	0.039719 0.045737
pop1pop3_boot50	0.042907 0.049271
pop1pop3_boot51	0.042971 0.049436
pop1pop3_boot52	0.044502 0.052714
pop1pop3_boot53	0.033072 0.036960
pop1pop3_boot54	0.041546 0.052952
pop1pop3_boot55	0.044414 0.050949
pop1pop3_boot56	0.041604 0.048977
pop1pop3_boot57	0.044129 0.057228
pop1pop3_boot58	0.045381 0.056384
pop1pop3_boot59	0.045714 0.052932
pop1pop3_boot60	0.038912 0.045278
pop1pop3_boot61	0.042293 0.052904
pop1pop3_boot62	0.043003 0.048956
pop1pop3_boot63	0.043655 0.053975
pop1pop3_boot64	0.028880 0.036280
pop1pop3_boot65	0.039499 0.049307
pop1pop3_boot66	0.033950 0.043990
pop1pop3_boot67	0.038631 0.048358
pop1pop3_boot68	0.046954 0.057875
pop1pop3_boot69	0.041545 0.049173
pop1pop3_boot70	0.045045 0.056186
pop1pop3_boot71	0.039720 0.048174
pop1pop3_boot72	0.036963 0.048493
pop1pop3_boot73	0.032476 0.036888
pop1pop3_boot74	0.040205 0.047784
pop1pop3_boot75	0.043760 0.055284
pop1pop3_boot76	0.040554 0.051419
pop1pop3_boot77	0.045230 0.055189
pop1pop3_boot78	0.046036 0.056026
pop1pop3_boot79	0.045834 0.055718
pop1pop3_boot80	0.043777 0.055620
pop1pop3_boot81	0.042536 0.055326
pop1pop3_boot82	0.041474 0.051161
pop1pop3_boot83	0.037764 0.042542
pop1pop3_boot84	0.036470 0.043004
pop1pop3_boot85	0.039333 0.051484
pop1pop3_boot86	0.040088 0.051065
pop1pop3_boot87	0.040882 0.048136
pop1pop3_boot88	0.046089 0.059784
pop1pop3_boot89	0.046577 0.056199
pop1pop3_boot90	0.038862 0.049801
pop1pop3_boot91	0.044370 0.055968
pop1pop3_boot92	0.039774 0.046260
pop1pop3_boot93	0.042554 0.050934
pop1pop3_boot94	0.045430 0.055350
pop1pop3_boot95	0.042418 0.050440
pop1pop3_boot96	0.037048 0.046300
pop1pop3_boot97	0.040922 0.047178
pop1pop3_boot98	0.039392 0.049426
pop1pop3_boot99	0.038039 0.044355
pop1pop3_boot100	0.043266 0.051016
pop1pop5_boot1	0.058401 0.080601
pop1pop5_boot2	0.054777 0.072813
pop1pop5_boot3	0.060955 0.085881
pop1pop5_boot4	0.059293 0.084991
pop1pop5_boot5	0.064833 0.091737
pop1pop5_boot6	0.060239 0.085050
pop1pop5_boot7	0.057672 0.076706
pop1pop5_boot8	0.057061 0.076383
pop1pop5_boot9	0.055392 0.073883
pop1pop5_boot10	0.054609 0.080876
pop1pop5_boot11	0.061035 0.082512
pop1pop5_boot12	0.058795 0.081137
pop1pop5_boot13	0.062893 0.085175
pop1pop5_boot14	0.058329 0.081137
pop1pop5_boot15	0.050725 0.060297
pop1pop5_boot16	0.056534 0.079430
pop1pop5_boot17	0.058338 0.081947
pop1pop5_boot18	0.054289 0.065837
pop1pop5_boot19	0.053439 0.071042
pop1pop5_boot20	0.063606 0.085160
pop1pop5_boot21	0.060534 0.083190
pop1pop5_boot22	0.056517 0.074115
pop1pop5_boot23	0.055623 0.076194
pop1pop5_boot24	0.060328 0.083127
pop1pop5_boot25	0.059155 0.085181
pop1pop5_boot26	0.056735 0.079820
pop1pop5_boot27	0.058192 0.081739
pop1pop5_boot28	0.058056 0.076254
pop1pop5_boot29	0.065497 0.090575
pop1pop5_boot30	0.064993 0.090565
pop1pop5_boot31	0.061314 0.088428
pop1pop5_boot32	0.057936 0.078103
pop1pop5_boot33	0.061105 0.087649
pop1pop5_boot34	0.061483 0.084249
pop1pop5_boot35	0.058848 0.082954
pop1pop5_boot36	0.059727 0.086016
pop1pop5_boot37	0.059637 0.083621
pop1pop5_boot38	0.057555 0.074559
pop1pop5_boot39	0.060805 0.084507
pop1pop5_boot40	0.063245 0.087269
pop1pop5_boot41	0.053610 0.076225
pop1pop5_boot42	0.051835 0.074906
pop1pop5_boot43	0.057899 0.083110
pop1pop5_boot44	0.060033 0.079227
pop1pop5_boot45	0.056840 0.081670
pop1pop5_boot46	0.049809 0.070230
pop1pop5_boot47	0.065733 0.093006
pop1pop5_boot48	0.057199 0.081084
pop1pop5_boot49	0.054579 0.076578
pop1pop5_boot50	0.059736 0.084012
pop1pop5_boot51	0.061231 0.087453
pop1pop5_boot52	0.064698 0.088156
pop1pop5_boot53	0.059163 0.084528
pop1pop5_boot54	0.061091 0.083581
pop1pop5_boot55	0.058284 0.073904
pop1pop5_boot56	0.059402 0.083848
pop1pop5_boot57	0.054441 0.073758
pop1pop5_boot58	0.066250 0.091776
pop1pop5_boot59	0.058230 0.083379
pop1pop5_boot60	0.057506 0.083025
pop1pop5_boot61	0.050929 0.068268
pop1pop5_boot62	0.057506 0.079766
pop1pop5_boot63	0.055927 0.075456
pop1pop5_boot64	0.060184 0.084753
pop1pop5_boot65	0.056095 0.081016
pop1pop5_boot66	0.058747 0.081561
pop1pop5_boot67	0.060626 0.083251
pop1pop5_boot68	0.059531 0.078780
pop1pop5_boot69	0.057562 0.078451
pop1pop5_boot70	0.062708 0.084879
pop1pop5_boot71	0.060320 0.083407
pop1pop5_boot72	0.052545 0.074060
pop1pop5_boot73	0.062993 0.087613
pop1pop5_boot74	0.058651 0.078011
pop1pop5_boot75	0.059005 0.073505
pop1pop5_boot76	0.064180 0.089798
pop1pop5_boot77	0.059542 0.079902
pop1pop5_boot78	0.060538 0.086370
pop1pop5_boot79	0.060202 0.083215
pop1pop5_boot80	0.058984 0.082343
pop1pop5_boot81	0.058841 0.080802
pop1pop5_boot82	0.067755 0.093321
pop1pop5_boot83	0.056404 0.085478
pop1pop5_boot84	0.057775 0.085505
pop1pop5_boot85	0.062415 0.086441
pop1pop5_boot86	0.059542 0.076275
pop1pop5_boot87	0.062276 0.086429
pop1pop5_boot88	0.054767 0.072467
pop1pop5_boot89	0.054360 0.066515
pop1pop5_boot90	0.057955 0.078237
pop1pop5_boot91	0.058761 0.083383
pop1pop5_boot92	0.062079 0.084423
pop1pop5_boot93	0.059428 0.084169
pop1pop5_boot94	0.060805 0.081394
pop1pop5_boot95	0.059299 0.081329
pop1pop5_boot96	0.059875 0.076860
pop1pop5_boot97	0.053839 0.072869
pop1pop5_boot98	0.059386 0.081027
pop1pop5_boot99	0.061114 0.080906
pop1pop5_boot100	0.059441 0.086021
pop3pop4_boot1	0.035284 0.036310
pop3pop4_boot2	0.036345 0.036616
pop3pop4_boot3	0.040729 0.040594
pop3pop4_boot4	0.037801 0.041343
pop3pop4_boot5	0.039093 0.040165
pop3pop4_boot6	0.046996 0.049046
pop3pop4_boot7	0.045766 0.045824
pop3pop4_boot8	0.043862 0.040323
pop3pop4_boot9	0.045093 0.049285
pop3pop4_boot10	0.041237 0.042815
pop3pop4_boot11	0.040884 0.040704
pop3pop4_boot12	0.041548 0.045261
pop3pop4_boot13	0.045266 0.046912
pop3pop4_boot14	0.042631 0.042839
pop3pop4_boot15	0.044849 0.050586
pop3pop4_boot16	0.042934 0.044025
pop3pop4_boot17	0.041895 0.042441
pop3pop4_boot18	0.032719 0.035185
pop3pop4_boot19	0.037025 0.040370
pop3pop4_boot20	0.040558 0.045338
pop3pop4_boot21	0.035260 0.035280
pop3pop4_boot22	0.039932 0.039196
pop3pop4_boot23	0.038237 0.038955
pop3pop4_boot24	0.043641 0.042534
pop3pop4_boot25	0.039847 0.043794
pop3pop4_boot26	0.043628 0.042462
pop3pop4_boot27	0.045496 0.042406
pop3pop4_boot28	0.031981 0.034893
pop3pop4_boot29	0.037123 0.039318
pop3pop4_boot30	0.043470 0.044184
pop3pop4_boot31	0.035630 0.039951
pop3pop4_boot32	0.048859 0.051011
pop3pop4_boot33	0.043572 0.042953
