pop1pop2_boot1	0.038625 0.039207
pop1pop2_boot2	0.043356 0.044512
pop1pop2_boot3	0.042664 0.042622
pop1pop2_boot4	0.044561 0.041944
pop1pop2_boot5	0.046859 0.047649
pop1pop2_boot6	0.045567 0.048228
pop1pop2_boot7	0.037265 0.031380
pop1pop2_boot8	0.039898 0.036142
pop1pop2_boot9	0.043954 0.042243
pop1pop2_boot10	0.043248 0.042677
pop1pop2_boot11	0.046670 0.047379
pop1pop2_boot12	0.041038 0.037358
pop1pop2_boot13	0.043116 0.041672
pop1pop2_boot14	0.038750 0.034795
pop1pop2_boot15	0.039909 0.037299
pop1pop2_boot16	0.039819 0.036341
pop1pop2_boot17	0.040238 0.039348
pop1pop2_boot18	0.044025 0.043027
pop1pop2_boot19	0.042775 0.037596
pop1pop2_boot20	0.043540 0.044435
pop1pop2_boot21	0.040607 0.041048
pop1pop2_boot22	0.038299 0.035495
pop1pop2_boot23	0.042764 0.039980
pop1pop2_boot24	0.040208 0.036837
pop1pop2_boot25	0.040721 0.037936
pop1pop2_boot26	0.045193 0.044648
pop1pop2_boot27	0.042724 0.041831
pop1pop2_boot28	0.045616 0.044359
pop1pop2_boot29	0.043832 0.038649
pop1pop2_boot30	0.045449 0.046026
pop1pop2_boot31	0.044822 0.045249
pop1pop2_boot32	0.045686 0.046173
pop1pop2_boot33	0.046236 0.047497
pop1pop2_boot34	0.047551 0.046717
pop1pop2_boot35	0.045049 0.044604
pop1pop2_boot36	0.045400 0.044761
pop1pop2_boot37	0.042981 0.045373
pop1pop2_boot38	0.045531 0.045408
pop1pop2_boot39	0.044720 0.043304
pop1pop2_boot40	0.045182 0.041310
pop1pop2_boot41	0.044665 0.042833
pop1pop2_boot42	0.047620 0.046935
pop1pop2_boot43	0.042810 0.043678
pop1pop2_boot44	0.044299 0.043628
pop1pop2_boot45	0.043920 0.043785
pop1pop2_boot46	0.048127 0.050094
pop1pop2_boot47	0.043009 0.042371
pop1pop2_boot48	0.044530 0.040976
pop1pop2_boot49	0.046384 0.046798
pop1pop2_boot50	0.040050 0.040650
pop1pop2_boot51	0.044902 0.045431
pop1pop2_boot52	0.045463 0.042687
pop1pop2_boot53	0.040966 0.037150
pop1pop2_boot54	0.042215 0.038160
pop1pop2_boot55	0.041687 0.040644
pop1pop2_boot56	0.038689 0.033238
pop1pop2_boot57	0.043745 0.039277
pop1pop2_boot58	0.045526 0.045753
pop1pop2_boot59	0.044325 0.044794
pop1pop2_boot60	0.039569 0.035939
pop1pop2_boot61	0.043213 0.038533
pop1pop2_boot62	0.043182 0.043553
pop1pop2_boot63	0.045127 0.043627
pop1pop2_boot64	0.044545 0.047272
pop1pop2_boot65	0.046984 0.047368
pop1pop2_boot66	0.044881 0.046318
pop1pop2_boot67	0.046870 0.046042
pop1pop2_boot68	0.037857 0.033768
pop1pop2_boot69	0.044084 0.043565
pop1pop2_boot70	0.042614 0.041933
pop1pop2_boot71	0.041738 0.041554
pop1pop2_boot72	0.044906 0.044801
pop1pop2_boot73	0.040427 0.037084
